世代,固定慣性項(w=0.75)平均,LDIWM(w_max=0.9→w_min=0.4)
0,269.5934120317458,260.35068282659813
1,244.82851449431115,260.35068282659813
2,215.35182734490087,224.4292637120546
3,195.0493100301614,195.30346086445053
4,183.46142851531968,173.27106917300088
5,173.13605651947864,158.7410086920678
6,170.99645764800516,158.7410086920678
7,159.74409797759375,158.7410086920678
8,158.20936976743127,158.7410086920678
9,157.93560254881683,158.7410086920678
10,150.82526427795963,158.7410086920678
11,150.82526427795963,158.7410086920678
12,150.82526427795963,158.7410086920678
13,149.3587173185006,158.7410086920678
14,146.22226600075504,158.7410086920678
15,145.72073232737478,158.7410086920678
16,144.76156763305178,158.7410086920678
17,144.21638911647366,158.7410086920678
18,143.7571647329594,158.7410086920678
19,143.7571647329594,158.7410086920678
20,143.7571647329594,158.7410086920678
21,142.85188188714835,158.7410086920678
22,142.8017142003732,158.7410086920678
23,142.03402152416336,158.7410086920678
24,142.03402152416336,158.35655822358757
25,141.1138664856355,158.35655822358757
26,137.5951692504878,158.35655822358757
27,137.5951692504878,158.35655822358757
28,137.5951692504878,158.35655822358757
29,136.2752578064477,158.35655822358757
30,134.71074479549745,158.35655822358757
31,134.71074479549745,146.63743436896306
32,134.71074479549745,146.63743436896306
33,134.71074479549745,146.63743436896306
34,131.1006172709486,146.63743436896306
35,130.36185617565974,146.63743436896306
36,129.94622004115692,146.63743436896306
37,129.83762036695381,146.63743436896306
38,128.30419139899604,146.63743436896306
39,128.30419139899604,146.63743436896306
40,128.30419139899604,146.63743436896306
41,128.30419139899604,146.63743436896306
42,128.30419139899604,146.63743436896306
43,127.91500317040143,146.63743436896306
44,127.91500317040143,146.63743436896306
45,127.91500317040143,146.63743436896306
46,127.91500317040143,146.63743436896306
47,127.41868953766641,146.63743436896306
48,124.12721408194197,146.63743436896306
49,122.80744279636353,146.63743436896306
50,122.80744279636353,140.11712807882918
51,122.80744279636353,140.11712807882918
52,122.80744279636353,140.11712807882918
53,122.4729968640479,140.11712807882918
54,122.37249969029608,140.11712807882918
55,121.53651383315643,140.11712807882918
56,121.52755050009884,140.11712807882918
57,121.52755050009884,140.11712807882918
58,120.65306504860175,140.11712807882918
59,120.65306504860175,140.11712807882918
60,120.65306504860175,140.11712807882918
61,120.65306504860175,140.11712807882918
62,120.65306504860175,140.11712807882918
63,120.65306504860175,121.62453329642311
64,117.38544107039222,121.62453329642311
65,116.79087035942764,121.62453329642311
66,114.9053215437031,121.62453329642311
67,114.58659859100933,121.62453329642311
68,114.27950984485165,121.62453329642311
69,114.27950984485165,121.62453329642311
70,114.27950984485165,121.62453329642311
71,114.27950984485165,121.62453329642311
72,114.27950984485165,121.62453329642311
73,114.27950984485165,121.62453329642311
74,114.14289505748984,121.62453329642311
75,114.14289505748984,121.62453329642311
76,114.14289505748984,121.62453329642311
77,114.14289505748984,121.62453329642311
