世代,0,1,2,3,4,5,6,7,8,9
0,799772.2399973731,715990.8492009647,1227046.8461484425,988852.6535057423,1090360.0256194032,852439.5557612925,1094501.8478670975,708776.8555247117,872720.8023771368,1279757.6910751346
1,624333.2103134651,479345.53180907585,735828.1052395622,690638.9572979113,704135.9931222979,589290.3933379445,661485.5624869015,705277.4985749291,728374.6716851543,929486.5832668706
2,398461.47775998246,361415.4888944617,430054.5057029714,400549.62782513944,425893.0089530709,347752.8356550461,433139.1971580432,404209.3134032226,427231.4199150509,482284.9110329565
3,213650.42857116094,156236.19908075585,201562.1916388781,187098.78094694272,135847.44635973786,142701.68875139893,239339.62460146882,137629.95821823087,160388.00996455067,227610.6737032434
4,207403.33374534847,150412.75785088463,173744.26077570178,138215.715661444,134972.75766129218,142701.68875139893,198028.72922615273,131020.80883494022,132184.47405990885,186012.22171329168
5,132132.08298504577,105947.79612295287,165722.5336157299,123826.20104153531,134972.75766129218,123056.68477425471,184805.76202400526,107192.79931381471,132184.47405990885,139571.36297294547
6,132132.08298504577,77383.96503465076,129838.92119137691,116002.23025824384,88758.52423131156,115649.78880610272,154974.4841275879,107192.79931381471,124505.39440839799,126021.39904440325
7,121014.55855154684,60402.3168571022,112375.45793803968,86011.24130058548,87019.41010034064,115649.78880610272,117042.1898965209,89147.66800439967,112281.0390076305,126021.39904440325
8,116294.93031505958,45910.76792494233,104808.96305761415,86011.24130058548,78282.51633042598,93844.32089530601,117042.1898965209,85416.01048504106,100918.1989565273,126021.39904440325
9,84703.00446665133,45910.76792494233,81645.12590307159,78121.4505321479,65669.09508960917,79367.53600256486,87829.29298666326,85416.01048504106,94167.82882382587,95773.35543327691
10,79285.5430444227,30797.3723419188,61335.432516867615,75740.19350375624,63468.24698984423,52744.79170000491,87829.29298666326,56906.4498188873,79537.65656800805,95773.35543327691
11,58785.93410307027,30797.3723419188,61335.432516867615,54102.25520350625,41044.40700093003,52744.79170000491,87829.29298666326,56906.4498188873,79537.65656800805,76722.54291044334
12,52114.0217944178,30440.769495767527,61335.432516867615,50508.865314857394,41044.40700093003,52744.79170000491,80001.46175166487,56771.018607808066,79537.65656800805,76722.54291044334
13,52114.0217944178,30440.769495767527,41926.1141210506,50508.865314857394,41044.40700093003,40615.15868569385,80001.46175166487,50668.76389050796,68549.8597189307,72527.92821094365
14,52114.0217944178,30440.769495767527,41926.1141210506,37637.65865165412,34236.58513890352,40615.15868569385,66363.0899621511,45061.05269750287,68549.8597189307,65651.6599254733
15,34861.594778433755,30440.769495767527,41926.1141210506,37637.65865165412,34236.58513890352,40615.15868569385,66363.0899621511,45061.05269750287,63611.62558509136,65651.6599254733
16,31773.32602122446,30440.769495767527,41926.1141210506,32067.142927520792,29337.439257544484,40615.15868569385,56996.065459259,37452.32833489023,58189.18172411829,47128.63390427936
17,31773.32602122446,30440.769495767527,41926.1141210506,32067.142927520792,29337.439257544484,39511.99972717054,54276.74820019197,37452.32833489023,55207.05848898648,41993.82625416286
18,31773.32602122446,30440.769495767527,39918.79737262018,32067.142927520792,29337.439257544484,39511.99972717054,54276.74820019197,37452.32833489023,37788.3709573877,41993.82625416286
19,31773.32602122446,28699.473734244017,37883.862897313076,32067.142927520792,27837.732883400597,39511.99972717054,54276.74820019197,37452.32833489023,37010.71639208622,41343.63263477101
20,31773.32602122446,28699.473734244017,27780.525312004564,32067.142927520792,27837.732883400597,39511.99972717054,54276.74820019197,31874.081336709318,34934.96191810384,41343.63263477101
21,31773.32602122446,20517.397529238126,27780.525312004564,32067.142927520792,25000.808037334922,33496.77594362316,54276.74820019197,31874.081336709318,34934.96191810384,29016.133836812587
22,31773.32602122446,20517.397529238126,26408.976899457997,31840.10882557801,24571.733342376476,33496.77594362316,50917.28881695539,31874.081336709318,33804.80698773259,29016.133836812587
23,31773.32602122446,20517.397529238126,20797.02999630938,21683.48830700617,18404.088377850472,33496.77594362316,42637.806238110534,31874.081336709318,33804.80698773259,26318.62871435693
24,26716.56759483069,20517.397529238126,20797.02999630938,21683.48830700617,18404.088377850472,29626.920006929817,42193.69824524644,31874.081336709318,29567.61319554025,26318.62871435693
25,26716.56759483069,20517.397529238126,20797.02999630938,21683.48830700617,18404.088377850472,29626.920006929817,38859.17985038558,31874.081336709318,29567.61319554025,26318.62871435693
26,24415.080617289022,20517.397529238126,20797.02999630938,21683.48830700617,18404.088377850472,28924.071554456325,38859.17985038558,30919.38608928851,28686.262777632717,26318.62871435693
27,24415.080617289022,20517.397529238126,20797.02999630938,21683.48830700617,18404.088377850472,28924.071554456325,38859.17985038558,24102.99364341669,28686.262777632717,26318.62871435693
28,24415.080617289022,20517.397529238126,19274.45799276251,21683.48830700617,18404.088377850472,28924.071554456325,34688.859386950906,24102.99364341669,28686.262777632717,22335.46694726094
