世代,0,1,2,3,4,5,6,7,8,9
0,1504751.1319733774,1884538.0606688035,1298961.87813938,2166933.2865573512,1536080.9322018214,1457929.1959901862,861798.8429119334,2422368.9766074205,2152394.9385132804,1278043.9839777371
1,706494.1136282517,891529.34351153,737539.9904728541,1176842.649276696,639762.8636586299,606914.6504557659,432860.92239242326,1253715.1177830473,1100764.086916607,745819.9554871777
2,293839.53559203615,271861.8522035623,354206.9031080769,485896.91794096096,172831.15723775653,187751.97340246476,163548.36067523266,496432.1910685009,496541.81555510237,361460.1266983375
3,70640.72628483604,90659.15372980278,114722.23761355391,224266.15967559352,93125.37577657288,131580.37709746376,90118.97734031481,189031.56397251878,171848.15265964236,159961.88109983222
4,70640.72628483604,90659.15372980278,71068.01745501524,121484.97310019171,93125.37577657288,101530.5151444362,90118.97734031481,70516.84574635838,46983.970477816154,72563.02067921066
5,70640.72628483604,90659.15372980278,55539.42766998914,121484.97310019171,93125.37577657288,101530.5151444362,90118.97734031481,70516.84574635838,46983.970477816154,72563.02067921066
6,49401.25432654576,68656.05948538323,55539.42766998914,82066.26325262053,43898.01631462173,52870.57989090189,90118.97734031481,50491.266013496934,46983.970477816154,63412.62730772297
7,49401.25432654576,68223.30752126877,55539.42766998914,82066.26325262053,43898.01631462173,52870.57989090189,63031.64101732944,50491.266013496934,46983.970477816154,56981.78762589836
8,49401.25432654576,68223.30752126877,39933.60800893534,62647.41630049094,43898.01631462173,52870.57989090189,62835.23851157977,50491.266013496934,46983.970477816154,35877.39703428904
9,40892.10717121818,45906.02649017567,39933.60800893534,61692.015233959624,34750.50293491386,50640.73138992209,62505.93657315491,46023.17249848074,46983.970477816154,35877.39703428904
10,40892.10717121818,45906.02649017567,29324.21151292412,45228.676904806045,34750.50293491386,50640.73138992209,47362.319153505814,46023.17249848074,46983.970477816154,31965.3562074468
11,40892.10717121818,45906.02649017567,29324.21151292412,27755.50053359514,34750.50293491386,44554.25864327562,47362.319153505814,25331.363728642093,46983.970477816154,31965.3562074468
12,32970.814237241415,45906.02649017567,29324.21151292412,27755.50053359514,29943.45433399802,23026.840650340346,47130.36660399536,25331.363728642093,46983.970477816154,31965.3562074468
13,32970.814237241415,45906.02649017567,28100.603223294445,27755.50053359514,29943.45433399802,23026.840650340346,47130.36660399536,25331.363728642093,46983.970477816154,19277.623623748255
14,32970.814237241415,45906.02649017567,28100.603223294445,20106.42846047315,29943.45433399802,23026.840650340346,47130.36660399536,25331.363728642093,46983.970477816154,19277.623623748255
15,24662.875306638663,31307.226572963296,28100.603223294445,20106.42846047315,20568.122448860027,23026.840650340346,47130.36660399536,25331.363728642093,36812.27466228256,19277.623623748255
16,17915.759774467188,27833.761940002445,25286.632356124373,16213.672852779233,20568.122448860027,23026.840650340346,47130.36660399536,25331.363728642093,36812.27466228256,19277.623623748255
17,17915.759774467188,23341.298958656047,25286.632356124373,16213.672852779233,20568.122448860027,23026.840650340346,20128.58780145892,25331.363728642093,31000.67194437,19277.623623748255
18,17915.759774467188,22008.680232225997,25286.632356124373,13080.367743580138,20568.122448860027,23026.840650340346,20128.58780145892,23367.587682776873,29937.55508704278,19277.623623748255
19,17915.759774467188,22008.680232225997,25286.632356124373,7943.244284957328,20568.122448860027,23026.840650340346,20128.58780145892,20198.86034889935,21464.71733442288,19277.623623748255
20,17915.759774467188,20279.235250708807,23023.36216234939,7943.244284957328,11599.697030312322,23026.840650340346,17987.54823471821,18197.609651969102,21464.71733442288,14121.697543822816
21,12032.737199701725,17152.48137128208,23023.36216234939,7943.244284957328,11599.697030312322,16857.520743491328,17987.54823471821,18197.609651969102,20766.119639268505,14121.697543822816
22,12032.737199701725,17152.48137128208,18492.630674068245,7943.244284957328,11599.697030312322,16857.520743491328,17987.54823471821,8961.86851452933,20766.119639268505,14121.697543822816
23,12032.737199701725,17152.48137128208,11545.721930894086,7943.244284957328,11599.697030312322,16857.520743491328,15770.3198005535,8961.86851452933,15665.13673335607,14121.697543822816
24,12032.737199701725,6174.241396927882,11545.721930894086,7943.244284957328,3809.865183644234,10325.531049197854,15770.3198005535,8961.86851452933,15665.13673335607,14121.697543822816
25,12032.737199701725,6174.241396927882,8343.332399276185,7943.244284957328,3809.865183644234,10325.531049197854,15770.3198005535,8961.86851452933,15665.13673335607,14121.697543822816
26,12032.737199701725,6174.241396927882,8343.332399276185,7943.244284957328,3809.865183644234,10325.531049197854,15770.3198005535,8961.86851452933,5755.207937311688,14121.697543822816
27,12032.737199701725,6174.241396927882,8343.332399276185,7943.244284957328,3809.865183644234,6507.897252103152,15770.3198005535,8961.86851452933,5755.207937311688,14121.697543822816
